ref,word,num,dep,label,dep2,label2
22b.104,konouutosei'i3i',4,,,,
22b.104,"niitoo3i',",5,,,,
22b.104,nee'eetou',6,,,,
22b.104,nuhu',7,,,,
22b.104,hoseihoowu'.,8,,,,
22b.104,'oh...,9,,,,
22b.105,Yeah.,1,,,,
22b.105,He'iisiini,2,,,,
22b.105,yeah.,3,,,,
22b.106,'oh,1,,,,
22b.106,"huutiino,",2,,,,
22b.106,ne'niitceecesisoo',3,,,,
22b.106,nuhu'.,4,,,,
22b.107,"yeah,",1,,,,
22b.107,teecxo',2,,,,
22b.107,yeah.,3,,,,
22b.108,Noowuuhu',1,,,,
22b.108,heene'ino'.,2,,,,
22b.109,neihoowunee'eecxooyei.,1,,,,
22b.110,'oh,1,,,,
22b.110,nuhu',2,,,,
22b.110,nihneeniitonou'u.,3,,,,
22b.111,yeah.,1,,,,
22b.112,Beneexookee3i',1,,,,
22b.112,nenee3i',2,,,,
22b.112,nihneeniitonou'u.,3,,,,
22b.112,nenee3i',4,,,,
22b.112,hei'inou'u.,5,,,,
22b.113,yeah.,1,,,,
22b.114,yeah.,1,,,,
22b.115,'oh,1,,,,
22b.115,hoo3oo'o',2,,,,
22b.115,hooweentoono'.,3,,,,
22b.116,yeah.,1,,,,
22b.117,hiihooweentoono'.,1,,,,
22b.118,hiihooweentoono',1,,,,
22b.118,yeah.,2,,,,
22b.119,"Heettousnottonoo,",1,,,,
22b.119,wo'ei3,2,,,,
22b.119,heettoushe'ino'.,3,,,,
22b.120,howoo,1,,,,
22b.120,nuhu',2,,,,
22b.120,hoseihoowu',3,,,,
22b.120,"tohuucebkoohuutiino',",4,,,,
22b.121,Heettouse'ino'?,1,,,,
22b.122,'oh,1,,,,
22b.122,xouuP,2,,,,
22b.122,xooxouuwtoohohkoni',3,,,,
22b.122,wo'ei3,4,,,,
22b.122,heeneisiihi'.,5,,,,
22b.123,heetbeeti'oo',1,,,,
22b.124,'oh,1,,,,
22b.124,nuhu',2,,,,
22b.124,ciixouuwutooP,3,,,,
22b.124,"ciixouuwutoohohkoni',",4,,,,
22b.125,hetneihoowuni'-ii-co'onnee'eesoo.,1,,,,
22b.126,"yeah,",1,,,,
22b.126,heetiini,2,,,,
22b.126,noononsoo'.,3,,,,
22b.127,"HeetP,",1,,,,
22b.127,"woow,",2,,,,
22b.127,woow,3,,,,
22b.127,nihi'neenonsoo'.,4,,,,
22b.127,Niiceeciineneti3i'.,5,,,,
22b.128,NiinonP,1,,,,
22b.128,niinontootiini',2,,,,
22b.128,hini'iit.,3,,,,
22b.128,Noonsoo',4,,,,
22b.128,bisiihi',5,,,,
22b.128,wootii.,6,,,,
22b.129,Wootii,1,,,,
22b.129,nii3ookuseenoo',2,,,,
22b.129,nuhu'...,3,,,,
22b.130,NiihoonoP,1,,,,
22b.130,hookP,2,,,,
22b.130,hoonohookeeniitooni'.,3,,,,
22b.131,Niihoonohookoo'oo',1,,,,
22b.131,hiiwoonhehe'.,2,,,,
22b.132,hookoh,1,,,,
22b.132,wootii,2,,,,
22b.132,hooweentou',3,,,,
22b.132,nih'iinee'eesee',4,,,,
22b.132,teecxo'.,5,,,,
22b.133,teecxo',1,,,,
22b.133,nihni'oo'.,2,,,,
22b.134,"yeah,",1,,,,
22b.134,nihboboo3eeneiP,2,,,,
22b.135,nihbobooP,1,,,,
22b.135,boo-boboo3too-3i'.,2,,,,
22b.135,***,3,,,,
22b.136,"yeah,",1,,,,
22b.136,yeah.,2,,,,
22b.137,wo'ei3,1,,,,
22b.137,nuhu',2,,,,
22b.137,"xooxouuwutoo3i',",3,,,,
22b.137,nuhu',4,,,,
22b.137,beh'eihoho'.,5,,,,
22b.138,yeah.,1,,,,
22b.139,yeah.,1,,,,
22b.140,yeah.,1,,,,
22b.141,noh,1,,,,
22b.141,nuhu',2,,,,
22b.141,hiseino',3,,,,
22b.142,yeah,1,,,,
22b.143,nih'iibooboboo[3too3i'],1,,,,
22b.143,'oh,2,,,,
22b.143,hiiwoonhehe',3,,,,
22b.143,hiihoowboboo3too.,4,,,,
22b.144,Wootii,1,,,,
22b.144,nuhu',2,,,,
22b.144,beni'iine'etiino',3,,,,
22b.144,wootii,4,,,,
22b.145,"yeah,",1,,,,
22b.145,wootii,2,,,,
22b.145,beni'iine'[etiino'],3,,,,
22b.145,wootii,4,,,,
22b.145,nih'oo3ou'u.,5,,,,
22b.146,NoxowuuP,1,,,,
22b.146,noxowuuni,2,,,,
22b.146,nih'oo3ouninoo'oono',3,,,,
22b.146,woowuuno,4,,,,
22b.147,woow,1,,,,
22b.147,cesisnih'oo3ounino'.,2,,,,
22b.148,hee.,1,,,,
22b.149,Kookon,1,,,,
22b.149,niibooboo3etini'.,2,,,,
22b.150,"Heihoowoohceh'e3tiitoonetin,",1,,,,
22b.150,wo'ei3,2,,,,
22b.150,heihoowbeetniiteheibetin.,3,,,,
22b.151,NeeP,1,,,,
22b.151,neeneiP,2,,,,
22b.151,neeneiP,3,,,,
22b.151,neenei'oyoo3etino'.,4,,,,
22b.152,neenei'oyoo3etino'.,1,,,,
22b.152,"Yeah,",2,,,,
22b.152,nih'eenei'oyoo3oo3i',3,,,,
22b.152,he'iiteihi3i.,4,,,,
22b.153,yeah.,1,,,,
22b.154,"ceebe'eihi3en,",1,,,,
22b.154,ceebe'eihi3en.,2,,,,
22b.155,CeebP,1,,,,
22b.155,Ceebe'eini'otiibeenoo.,2,,,,
22b.156,ceebe'eini'otiibeenoo.,1,,,,
22b.157,neenei3nowoonoo,1,,,,
22b.157,'oh,2,,,,
22b.157,heihoowP;,3,,,,
22b.157,neneenin,4,,,,
22b.157,heihoowneenei3nowoo,5,,,,
22b.157,'innit?,6,,,,
22b.158,heetebinouhuunit.,1,,,,
22b.159,nee'eesoo'.,1,,,,
22b.160,"yeah,",1,,,,
22b.160,nuh'uuno,2,,,,
22b.160,hiinokotii3i',3,,,,
22b.160,nuhu',4,,,,
22b.160,nuh'uuno,5,,,,
22b.160,nih'oo3ou'u.,6,,,,
22b.161,Nooxeihi',1,,,,
22b.161,wootii,2,,,,
22b.161,benii'owoo3eino',3,,,,
22b.161,koh'uuhu'.,4,,,,
